frame_number,timestamp,ball_x,ball_y,player_1_x_meter,player_1_y_meter,player_2_x_meter,player_2_y_meter,is_rally_frame,rally_id,is_wall_hit,wall_hit_x_meter,wall_hit_y_meter,is_racket_hit,racket_hit_player_id,stroke_type,shot_type,shot_direction,shot_depth,point_winner,point_winner_reason,wall_hit_player_id,ball_speed,opponent_distance_moved,wall_hit_height,next_opponent_x,next_opponent_y
0,0.0,781.0,387.0,2.0112872351585716,7.641266796507432,5.7498453012682145,6.184872732465189,True,0,False,,,False,-1,,,,,-1,,,,,,,
1,0.03333333333333333,781.0,387.0,2.0112872351585716,7.641266796507432,5.7498453012682145,6.184872732465189,True,0,False,,,False,-1,,,,,-1,,,,,,,
2,0.06666666666666667,781.0,387.0,2.0112872351585716,7.641266796507432,5.7498453012682145,6.184872732465189,True,0,False,,,False,-1,,,,,-1,,,,,,,
3,0.1,781.0,387.0,2.0112872351585716,7.641266796507432,5.7498453012682145,6.184872732465189,True,0,False,,,False,-1,,,,,-1,,,,,,,
4,0.13333333333333333,781.0,387.0,2.0112872351585716,7.641266796507432,5.7498453012682145,6.184872732465189,True,0,False,,,False,-1,,,,,-1,,,,,,,
5,0.16666666666666666,781.0,387.0,2.0112872351585716,7.641266796507432,5.7498453012682145,6.184872732465189,True,0,False,,,False,-1,,,,,-1,,,,,,,
6,0.2,781.0,387.0,2.0112875104565786,7.641266855995593,5.74984380907973,6.184873132647958,True,0,False,,,False,-1,,,,,-1,,,,,,,
7,0.23333333333333334,781.0,387.0,2.0112892611130997,7.641267265758332,5.749832091256261,6.18487713163716,True,0,False,,,False,-1,,,,,-1,,,,,,,
8,0.26666666666666666,781.0,387.0,2.0112984283659863,7.641269558825567,5.74976909159577,6.184899723003829,True,0,False,,,False,-1,,,,,-1,,,,,,,
9,0.3,781.0,387.0,2.0113357360305653,7.641279335206817,5.749502811124,6.185001672337641,True,0,False,,,False,-1,,,,,-1,,,,,,,
10,0.3333333333333333,781.0,387.0,2.0114558771856683,7.64131273729166,5.748613179285396,6.185365103558251,True,0,False,,,False,-1,,,,,-1,,,,,,,
11,0.36666666666666664,781.0,387.0,2.0117682372701657,7.641405626849567,5.746250636295093,6.186404810639798,True,0,False,,,False,-1,,,,,-1,,,,,,,
12,0.4,781.0,387.0,2.0124399565784667,7.6416186569348215,5.741235154456378,6.188806833424206,True,0,False,,,False,-1,,,,,-1,,,,,,,
