frame,x,y,prominence
59,593.0,65.0,254.0
194,483.0,145.0,526.0
279,249.0,575.0,54.0
329,863.0,323.0,160.0
387,807.0,263.0,236.0
458,619.0,209.0,436.0
578,523.0,205.0,346.0
667,425.0,201.0,292.0
744,471.0,187.0,416.0
856,463.0,229.0,262.0
918,437.0,211.0,258.0
