frame,timestamp,player_1_x_pixel,player_1_y_pixel,player_1_x_meter,player_1_y_meter,player_1_kp_left_shoulder_x,player_1_kp_left_shoulder_y,player_1_kp_right_shoulder_x,player_1_kp_right_shoulder_y,player_1_kp_left_elbow_x,player_1_kp_left_elbow_y,player_1_kp_right_elbow_x,player_1_kp_right_elbow_y,player_1_kp_left_wrist_x,player_1_kp_left_wrist_y,player_1_kp_right_wrist_x,player_1_kp_right_wrist_y,player_1_kp_left_hip_x,player_1_kp_left_hip_y,player_1_kp_right_hip_x,player_1_kp_right_hip_y,player_1_kp_left_knee_x,player_1_kp_left_knee_y,player_1_kp_right_knee_x,player_1_kp_right_knee_y,player_1_kp_left_ankle_x,player_1_kp_left_ankle_y,player_1_kp_right_ankle_x,player_1_kp_right_ankle_y,player_2_x_pixel,player_2_y_pixel,player_2_x_meter,player_2_y_meter,player_2_kp_left_shoulder_x,player_2_kp_left_shoulder_y,player_2_kp_right_shoulder_x,player_2_kp_right_shoulder_y,player_2_kp_left_elbow_x,player_2_kp_left_elbow_y,player_2_kp_right_elbow_x,player_2_kp_right_elbow_y,player_2_kp_left_wrist_x,player_2_kp_left_wrist_y,player_2_kp_right_wrist_x,player_2_kp_right_wrist_y,player_2_kp_left_hip_x,player_2_kp_left_hip_y,player_2_kp_right_hip_x,player_2_kp_right_hip_y,player_2_kp_left_knee_x,player_2_kp_left_knee_y,player_2_kp_right_knee_x,player_2_kp_right_knee_y,player_2_kp_left_ankle_x,player_2_kp_left_ankle_y,player_2_kp_right_ankle_x,player_2_kp_right_ankle_y,ball_x_pixel,ball_y_pixel,rally_id,rally_state,is_wall_hit,wall_hit_x,wall_hit_y,is_racket_hit,racket_hit_player_id,racket_hit_x,racket_hit_y,stroke_type,stroke_confidence,shot_type,shot_direction,shot_depth,shot_confidence
0,0.0,478.3262827787389,608.2695624617693,2.048110379195063,7.953821924489989,386.3752136230469,405.61492919921875,554.7398376464844,415.7969665527344,441.4791564941406,510.2051696777344,501.73895263671875,459.41900634765625,532.2509765625,679.2755432128906,544.7410278320312,495.3648681640625,378.5820007324219,492.9851989746094,512.3829040527344,499.00177001953125,416.4952392578125,573.656982421875,522.9829711914062,538.9000244140625,401.0062561035156,601.313720703125,448.4513244628906,580.3150024414062,993.9505414448226,500.7856121517296,6.515705867158041,5.795473449834086,977.2060546875,519.818603515625,947.4053344726562,525.0229797363281,997.6149291992188,480.8466491699219,950.0516357421875,493.6513366699219,1013.2080688476562,470.18865966796875,1000.2233276367188,486.2497253417969,980.124755859375,422.36810302734375,947.3619384765625,426.93511962890625,990.2850952148438,422.5823974609375,908.6970825195312,429.9423828125,1087.507080078125,488.277587890625,888.08740234375,496.32305908203125,893.0,417.0,0,PLAY,0,,,0,,,,,,,,,
1,0.016666666666666666,478.32597336769817,607.9518546212931,2.047379288176978,7.948273654520268,390.09417724609375,405.128662109375,552.2234802246094,414.9096984863281,442.57080078125,506.146728515625,502.350830078125,458.2615966796875,529.8893432617188,667.8805847167969,543.5408325195312,493.6177978515625,382.8298034667969,491.86041259765625,511.552734375,497.59564208984375,418.63177490234375,571.2600708007812,521.7411804199219,538.002685546875,403.48681640625,600.0032348632812,450.66815185546875,579.8344116210938,992.7208182045943,501.0567983232837,6.503152373656035,5.801817557947078,974.9812622070312,513.9878967285156,946.1969360351562,518.9142761230469,993.9886108398438,477.0929260253906,948.3754150390625,489.2404357910156,1008.3102783203125,467.3185607910156,995.900390625,482.61741943359374,978.2609497070313,421.86705322265624,946.7601440429687,426.19268798828125,987.6504028320312,423.76123046875,909.80537109375,430.7349060058594,1080.5156005859376,488.6659912109375,890.5,496.2528076171875,893.0,417.0,0,PLAY,0,,,0,,,,,,,,,
2,0.03333333333333333,478.32541921704217,607.3828445180735,2.0460699148387573,7.938336784018647,393.8131408691406,404.64239501953125,549.7071228027344,414.0224304199219,443.6624450683594,502.0882873535156,502.96270751953125,457.10418701171875,527.5277099609375,656.4856262207031,542.3406372070312,491.8707275390625,387.0776062011719,490.7356262207031,510.7225646972656,496.18951416015625,420.768310546875,568.8631591796875,520.4993896484375,537.1053466796875,405.9673767089844,598.6927490234375,452.8849792480469,579.3538208007812,990.5184018373898,501.542488796759,6.480669250096232,5.8131797629427115,972.7564697265625,508.1571899414063,944.9885375976562,512.8055725097656,990.3622924804688,473.3392028808594,946.6991943359375,484.82953491210935,1003.4124877929687,464.4484619140625,991.5774536132812,478.9851135253906,976.3971435546875,421.3660034179687,946.158349609375,425.45025634765625,985.0157104492188,424.9400634765625,910.9136596679688,431.5274291992188,1073.52412109375,489.05439453125,892.91259765625,496.18255615234375,893.0,417.0,0,PLAY,0,,,0,,,,,,,,,
3,0.05,478.3247120152231,606.6566792131728,2.0443989049849813,7.925655443991927,397.5321044921875,404.1561279296875,547.1907653808594,413.1351623535156,444.75408935546875,498.02984619140625,503.5745849609375,455.94677734375,525.1660766601562,645.0906677246094,541.1404418945312,490.1236572265625,391.3254089355469,489.61083984375,509.89239501953125,494.78338623046875,422.90484619140625,566.4662475585938,519.2575988769531,536.2080078125,408.44793701171875,597.3822631835938,455.101806640625,578.8732299804688,987.7076989276177,502.1623223792612,6.4519765007363485,5.827680101352017,970.5316772460938,502.32648315429685,943.7801391601563,506.6968688964844,986.7359741210937,469.5854797363281,945.0229736328125,480.41863403320315,998.514697265625,461.5783630371094,987.2545166015625,475.3528076171875,974.5333374023437,420.8649536132813,945.5565551757812,424.70782470703125,982.3810180664062,426.118896484375,912.0219482421875,432.3199523925781,1066.5326416015625,489.4427978515625,895.3251953125,496.1123046875,891.0,416.0,0,PLAY,0,,,0,,,,,,,,,
4,0.06666666666666667,478.3239292088766,605.8528820594834,2.0425492531836795,7.911618385281386,401.2510681152344,403.66986083984375,544.6744079589844,412.2478942871094,445.8457336425781,493.9714050292969,504.18646240234375,454.78936767578125,522.804443359375,633.6957092285156,539.9402465820312,488.3765869140625,395.5732116699219,488.4860534667969,509.0622253417969,493.37725830078125,425.0413818359375,564.0693359375,518.0158081054688,535.3106689453125,410.9284973144531,596.07177734375,457.3186340332031,578.3926391601562,984.5965133841953,502.84842024983436,6.420216307690279,5.843730621340065,968.306884765625,496.4957763671875,942.5717407226563,500.5881652832031,983.1096557617187,465.8317565917969,943.3467529296875,476.0077331542969,993.6169067382813,458.70826416015626,982.9315795898438,471.7205017089844,972.66953125,420.36390380859376,944.9547607421875,423.96539306640625,979.7463256835938,427.2977294921875,913.1302368164063,433.1124755859375,1059.541162109375,489.831201171875,897.73779296875,496.04205322265625,889.0,416.0,0,PLAY,0,,,0,,,,,,,,,
5,0.08333333333333333,478.323116936982,605.0188292443912,2.0406299787936986,7.897052958818504,404.97003173828125,403.18359375,542.1580505371094,411.3606262207031,446.9373779296875,489.9129638671875,504.79833984375,453.6319580078125,520.4428100585938,622.3007507324219,538.7400512695312,486.6295166015625,399.8210144042969,487.36126708984375,508.2320556640625,491.97113037109375,427.17791748046875,561.6724243164062,516.7740173339844,534.413330078125,413.4090576171875,594.7612915039062,459.53546142578125,577.9120483398438,981.3682199660682,503.56034347294315,6.387260631875366,5.860385297607921,966.0820922851562,490.6650695800781,941.3633422851562,494.4794616699219,979.4833374023438,462.0780334472656,941.6705322265625,471.5968322753906,988.7191162109375,455.8381652832031,978.608642578125,468.08819580078125,970.8057250976562,419.86285400390625,944.3529663085938,423.22296142578125,977.1116333007812,428.4765625,914.238525390625,433.9049987792969,1052.5496826171875,490.2196044921875,900.150390625,495.9718017578125,887.0,415.0,0,PLAY,0,,,0,,,,,,,,,
6,0.1,478.32229561762574,604.175486361637,2.038689326634082,7.882325295870212,408.6889953613281,402.69732666015625,539.6416931152344,410.4733581542969,448.0290222167969,485.8545227050781,505.41021728515625,452.47454833984375,518.0811767578125,610.9057922363281,537.5398559570312,484.8824462890625,404.0688171386719,486.2364807128906,507.4018859863281,490.56500244140625,429.314453125,559.2755126953125,515.5322265625,533.5159912109375,415.8896179199219,593.4508056640625,461.7522888183594,577.4314575195312,978.1039683163461,504.2801964275907,6.353937880435707,5.877225481395947,963.8572998046875,484.83436279296876,940.1549438476562,488.3707580566406,975.8570190429688,458.3243103027344,939.9943115234375,467.18593139648436,983.8213256835937,452.96806640625,974.2857055664062,464.4558898925781,968.9419189453125,419.36180419921874,943.751171875,422.48052978515625,974.4769409179687,429.6553955078125,915.3468139648437,434.69752197265626,1045.558203125,490.6080078125,902.56298828125,495.90155029296875,885.0,415.0,0,PLAY,0,,,0,,,,,,,,,
7,0.11666666666666667,478.3214721128315,603.329899438867,2.036743510618587,7.86755844427674,412.407958984375,402.2110595703125,537.1253356933594,409.5860900878906,449.12066650390625,481.79608154296875,506.0220947265625,451.317138671875,515.7195434570312,599.5108337402344,536.3396606445312,483.1353759765625,408.3166198730469,485.1116943359375,506.57171630859375,489.15887451171875,431.45098876953125,556.8786010742188,514.2904357910156,532.61865234375,418.37017822265625,592.1403198242188,463.9691162109375,576.9508666992188,974.8310308622213,505.00196482952407,6.3205264609237855,5.894110475008149,961.6325073242188,479.0036560058594,938.9465454101562,482.2620544433594,972.2307006835938,454.5705871582031,938.3180908203125,462.7750305175781,978.92353515625,450.09796752929685,969.9627685546875,460.823583984375,967.0781127929688,418.8607543945312,943.1493774414063,421.73809814453125,971.8422485351563,430.834228515625,916.4551025390625,435.49004516601565,1038.5667236328125,490.9964111328125,904.9755859375,495.831298828125,883.0,414.0,0,PLAY,0,,,0,,,,,,,,,
8,0.13333333333333333,478.3206481933594,602.48388671875,2.034796714782715,7.852784156799316,416.1269226074219,401.72479248046875,534.6089782714844,408.6988220214844,450.2123107910156,477.7376403808594,506.63397216796875,450.15972900390625,513.35791015625,588.1158752441406,535.1394653320312,481.3883056640625,412.5644226074219,483.9869079589844,505.7415466308594,487.75274658203125,433.5875244140625,554.481689453125,513.0486450195312,531.7213134765625,420.8507385253906,590.829833984375,466.1859436035156,576.4702758789062,971.5564453125,505.7240966796875,6.287098217010499,5.911003971099854,959.40771484375,473.17294921875,937.7381469726563,476.1533508300781,968.6043823242187,450.8168640136719,936.6418701171875,458.3641296386719,974.0257446289063,447.2278686523438,965.6398315429688,457.1912780761719,965.214306640625,418.3597045898438,942.5475830078125,420.99566650390625,969.2075561523437,432.0130615234375,917.5633911132812,436.282568359375,1031.575244140625,491.384814453125,907.38818359375,495.76104736328125,882.0,414.0,0,PLAY,0,,,0,,,,,,,,,
9,0.15,478.31982421875006,601.6378173828126,2.0328497886657715,7.838008880615235,419.84588623046875,401.238525390625,532.0926208496094,407.8115539550781,451.303955078125,473.67919921875,507.245849609375,449.0023193359375,510.99627685546875,576.7209167480469,533.9392700195312,479.6412353515625,416.8122253417969,482.86212158203125,504.911376953125,486.34661865234375,435.72406005859375,552.0847778320312,511.8068542480469,530.823974609375,423.331298828125,589.5193481445312,468.40277099609375,575.9896850585938,968.2816406250001,506.4462768554688,6.253667736053467,5.927898597717285,957.1829223632812,467.3422424316406,936.5297485351563,470.0446472167969,964.9780639648437,447.0631408691406,934.9656494140625,453.95322875976564,969.1279541015625,444.35776977539064,961.31689453125,453.55897216796876,963.3505004882812,417.85865478515626,941.9457885742188,420.25323486328125,966.5728637695313,433.19189453125,918.6716796875,437.07509155273436,1024.5837646484374,491.7732177734375,909.80078125,495.6907958984375,880.0,413.0,0,PLAY,0,,,0,,,,,,,,,
