frame,x,y,prominence
112,481.0,115.0,302.0
192,425.0,73.0,358.0
301,409.0,225.0,422.0
421,391.0,147.0,462.0
479,437.0,283.0,94.0
560,443.0,289.0,76.0
626,421.0,299.0,52.0
695,803.0,265.0,144.0
751,783.0,277.0,86.0
841,829.0,189.0,324.0
936,859.0,273.0,126.0
