frame_number,timestamp,ball_x,ball_y,player_1_x_meter,player_1_y_meter,player_2_x_meter,player_2_y_meter,is_rally_frame,rally_id,is_wall_hit,wall_hit_x_meter,wall_hit_y_meter,is_racket_hit,racket_hit_player_id,stroke_type,shot_type,shot_direction,shot_depth,point_winner,point_winner_reason,wall_hit_player_id,ball_speed,opponent_distance_moved,wall_hit_height,next_opponent_x,next_opponent_y,player_1_in_t_zone,player_2_in_t_zone,player_1_time_to_t,player_2_time_to_t
0,0.0,777.0,389.0,1.9859413955422556,7.680298766782199,5.743092953521477,6.169686672334696,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
1,0.03333333333333333,777.0,389.0,1.9859413955422556,7.680298766782199,5.743092953521477,6.169686672334696,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
2,0.06666666666666667,777.0,389.0,1.9859413955422556,7.680298766782199,5.743092953521477,6.169686672334696,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
3,0.1,777.0,389.0,1.9859413955422556,7.680298766782199,5.743092953521477,6.169686672334696,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
4,0.13333333333333333,777.0,389.0,1.9859413955422556,7.680298766782199,5.743092953521477,6.169686672334696,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
5,0.16666666666666666,777.0,389.0,1.9859413955422556,7.680298766782199,5.743092953521477,6.169686672334696,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
6,0.2,777.0,389.0,1.985941533861485,7.680298846764282,5.743091706459465,6.169687345914887,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
7,0.23333333333333334,777.0,389.0,1.9859425095974486,7.680299297710365,5.743081764920037,6.169693722591915,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
8,0.26666666666666666,777.0,389.0,1.985947947597669,7.680301505340726,5.743027521006089,6.16973017063804,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
9,0.3,777.0,389.0,1.9859714275109537,7.6803097926403066,5.742796146235497,6.169892453826255,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
10,0.3333333333333333,777.0,389.0,1.9860525762104078,7.680333734649373,5.742013474670343,6.170466908917996,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
11,0.36666666666666664,777.0,389.0,1.986282514146272,7.680386769130558,5.739902130550385,6.172092354067079,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
12,0.4,777.0,389.0,1.986825511941949,7.680477898284605,5.7353338070196545,6.175778158747088,True,0,False,,,False,-1,,,,,-1,,,,,,,,False,False,,
