frame_number,timestamp,ball_x,ball_y,player_1_x_meter,player_1_y_meter,player_2_x_meter,player_2_y_meter,is_rally_frame,rally_id,is_wall_hit,wall_hit_x_meter,wall_hit_y_meter,is_racket_hit,racket_hit_player_id,stroke_type,shot_type,shot_direction,shot_depth
0,0.0,59.0,143.0,1.442297285161533,9.490114031448257,2.5882733292381364,8.487880441805451,True,0,False,,,False,-1,,,,
1,0.016666666666666666,59.0,143.0,1.4452440278644438,9.490374227711428,2.587602380564879,8.487810651727326,True,0,False,,,False,-1,,,,
2,0.03333333333333333,59.0,143.0,1.4505510951425373,9.490695804803313,2.5863010186339244,8.487664294033275,True,0,False,,,False,-1,,,,
3,0.05,59.0,143.0,1.457552006209137,9.490841546704655,2.5844714548915544,8.487560567064593,True,0,False,,,False,-1,,,,
4,0.06666666666666667,59.0,143.0,1.4658979942003936,9.490690606498916,2.582258348140506,8.487846142808246,True,0,False,,,False,-1,,,,
5,0.08333333333333333,47.0,143.0,1.4754205258672517,9.490241500368052,2.5797918654435263,8.488965645981553,True,0,False,,,False,-1,,,,
6,0.1,35.0,141.0,1.4857589910276081,9.489513997714418,2.5771376043287093,8.491136775070819,True,0,False,,,False,-1,,,,
7,0.11666666666666667,76.55555555555556,151.88888888888889,1.4963503059280934,9.488536660484723,2.5742452686560435,8.494195458118678,True,0,False,,,False,-1,,,,
8,0.13333333333333333,118.11111111111111,162.77777777777777,1.506854337639514,9.487480037364135,2.5708833685066765,8.497849575534891,True,0,False,,,False,-1,,,,
9,0.15,159.66666666666669,173.66666666666669,1.5174512681892434,9.486724510614977,2.5666350239319384,8.502037080171029,True,0,False,,,False,-1,,,,
10,0.16666666666666666,201.22222222222223,184.55555555555554,1.5285844841264655,9.486667545483348,2.5610481351914904,8.506911756980712,True,0,False,,,False,-1,,,,
11,0.18333333333333332,242.77777777777777,195.44444444444446,1.5404260285703166,9.487429519284634,2.553869197798757,8.51246791484615,True,0,False,,,False,-1,,,,
12,0.2,284.33333333333337,206.33333333333334,1.5526503235099254,9.48877187030276,2.54529543095597,8.518079838520164,True,0,False,,,False,-1,,,,
13,0.21666666666666667,325.8888888888889,217.22222222222223,1.5647113853378816,9.49028413031539,2.5362238284898835,8.522150542306644,True,0,False,,,False,-1,,,,
14,0.23333333333333334,367.44444444444446,228.11111111111111,1.5762735984254954,9.491642835462905,2.530215818781765,8.520334280872436,True,0,False,,,False,-1,,,,
15,0.25,409.0,239.0,1.5873362989948685,9.492742603045151,2.539398709014494,8.500236523485686,True,0,False,,,False,-1,,,,
16,0.26666666666666666,450.55555555555554,249.88888888888889,1.5979812878533763,9.493617502310382,2.592381224400742,8.434235839724966,True,0,False,,,False,-1,,,,
17,0.2833333333333333,492.11111111111114,260.77777777777777,1.6080987642012952,9.494248011659101,2.7329783720462135,8.280851091141967,True,0,False,,,False,-1,,,,
18,0.3,533.6666666666667,271.6666666666667,1.6174165253135744,9.494485711282223,2.9924780665451625,8.01127434469511,True,0,False,,,False,-1,,,,
19,0.31666666666666665,575.2222222222223,282.55555555555554,1.6257455449974332,9.494212310061478,3.3468037860607764,7.650307363937017,True,0,False,,,False,-1,,,,
20,0.3333333333333333,616.7777777777778,293.44444444444446,1.6331218030121846,9.493538609896223,3.714162031963247,7.278025893722405,True,0,False,,,False,-1,,,,
21,0.35,658.3333333333334,304.33333333333337,1.6397393215865912,9.492771982478533,4.021558075882931,6.964926655159596,True,0,False,,,False,-1,,,,
22,0.36666666666666664,699.8888888888889,315.22222222222223,1.6458222183081546,9.492190286776971,4.265773354770754,6.713192522701222,True,0,False,,,False,-1,,,,
23,0.38333333333333336,741.4444444444445,326.1111111111111,1.6515444325327504,9.491884995979659,4.48479211817952,6.485465683071174,True,0,False,,,False,-1,,,,
24,0.4,783.0,337.0,1.6569875460514787,9.491788790789395,4.687887607395625,6.2733034938040575,True,0,False,,,False,-1,,,,
25,0.4166666666666667,779.0,338.14285714285717,1.6621348015207695,9.491780638742094,4.846622475039758,6.105446374232063,True,0,False,,,False,-1,,,,
26,0.43333333333333335,775.0,339.2857142857143,1.6669128332068417,9.491760594446523,4.939974751268047,6.003118482185766,True,0,False,,,False,-1,,,,
27,0.45,771.0,340.42857142857144,1.6712459024427666,9.491680771332026,4.977597174457458,5.956977527845771,True,0,False,,,False,-1,,,,
28,0.4666666666666667,767.0,341.57142857142856,1.6750865140424618,9.491546990236289,4.983414605930001,5.943050988837381,True,0,False,,,False,-1,,,,
29,0.48333333333333334,763.0,342.7142857142857,1.6784304555067966,9.491398923503255,4.973327267547074,5.944806069511221,True,0,False,,,False,-1,,,,
30,0.5,759.0,343.85714285714283,1.6813373895496833,9.491284323665178,4.945056214066097,5.964046756831168,True,0,False,,,False,-1,,,,
31,0.5166666666666667,755.0,345.0,1.6839478834409194,9.491242702949176,4.8751907181997245,6.025173711773617,True,0,False,,,False,-1,,,,
32,0.5333333333333333,751.0,343.0,1.6864531982195774,9.491294537064135,4.726563586592666,6.168128144188934,True,0,False,,,False,-1,,,,
33,0.55,743.0,349.0,1.6890105872220693,9.491429124504098,4.481874865122501,6.412551799250048,True,0,False,,,False,-1,,,,
34,0.5666666666666667,741.0,349.0,1.6917072167087954,9.491535006764733,4.193180505022589,6.704473680343127,True,0,False,,,False,-1,,,,
35,0.5833333333333334,735.0,351.0,1.6946526461590365,9.491256566145976,3.9861788110974112,6.910777224690945,True,0,False,,,False,-1,,,,
36,0.6,729.0,353.0,1.6984939218533646,9.489210305201478,3.9740294641195755,6.909663196260832,True,0,False,,,False,-1,,,,
