frame,x,y,prominence
74,509.0,158.0,295.0
194,437.0,184.0,472.0
296,395.0,109.0,554.0
365,195.0,568.0,52.0
420,425.0,226.0,261.0
477,401.0,216.0,427.0
622,760.0,121.0,525.0
732,883.0,288.0,165.0
786,849.0,299.0,101.0
910,719.0,419.0,233.0
