epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,10881.5,0.48573,0.42503,0.2151,0.38353,0.91398,0.98221,1,0.9941,0.94488,0.98221,1,0.9941,0.98497,0.36565,0.22388,0.07791,0.32426,0.90633,0.0009704,0.0009704,0.0009704
28,11288.4,0.45291,0.39958,0.21264,0.36972,0.91111,0.99561,0.99905,0.99434,0.93731,0.99561,0.99905,0.99434,0.96527,0.38057,0.20132,0.07388,0.34145,0.9149,0.0009308,0.0009308,0.0009308
29,11679.2,0.44396,0.39133,0.20841,0.36633,0.89936,0.99712,1,0.995,0.95361,0.99712,1,0.995,0.97238,0.33921,0.20621,0.06762,0.26355,0.87942,0.0008912,0.0008912,0.0008912
30,12077,0.42753,0.35524,0.20056,0.35289,0.90546,0.9991,1,0.995,0.95557,0.9991,1,0.995,0.98548,0.33326,0.17998,0.0697,0.25297,0.89363,0.0008516,0.0008516,0.0008516
31,12465.1,0.43186,0.348,0.221,0.35968,0.89867,0.99918,1,0.995,0.94965,0.99918,1,0.995,0.98897,0.34116,0.14269,0.07285,0.27547,0.88976,0.000812,0.000812,0.000812
32,12862.3,0.39965,0.30918,0.20047,0.33688,0.89021,0.9952,1,0.99496,0.95313,0.9952,1,0.99496,0.98273,0.33915,0.16896,0.06836,0.2567,0.88399,0.0007724,0.0007724,0.0007724
33,13259.8,0.40651,0.29725,0.18886,0.34469,0.8961,0.99501,1,0.99417,0.94809,0.99501,1,0.99417,0.98319,0.3409,0.19763,0.06462,0.26693,0.89168,0.0007328,0.0007328,0.0007328
34,13664.9,0.40106,0.29464,0.19095,0.33759,0.89033,0.99235,1,0.99447,0.94751,0.99235,1,0.99447,0.98706,0.33581,0.11354,0.06158,0.27376,0.87721,0.0006932,0.0006932,0.0006932
35,14068.6,0.38263,0.3094,0.18908,0.3251,0.88369,0.99543,1,0.995,0.96168,0.99543,1,0.995,0.98584,0.31599,0.17558,0.06095,0.24951,0.89155,0.0006536,0.0006536,0.0006536
36,14506.3,0.37476,0.32083,0.19137,0.32059,0.88916,0.99919,1,0.995,0.9698,0.99919,1,0.995,0.98898,0.28411,0.12284,0.06188,0.24217,0.86673,0.000614,0.000614,0.000614
37,14936.7,0.38017,0.30912,0.18468,0.33278,0.87714,0.99875,1,0.995,0.95503,0.99875,1,0.995,0.98172,0.31139,0.16287,0.06208,0.28656,0.8726,0.0005744,0.0005744,0.0005744
38,15368.6,0.36594,0.27735,0.1749,0.31199,0.88124,0.99923,1,0.995,0.96636,0.99923,1,0.995,0.98658,0.28152,0.1042,0.05823,0.23298,0.86473,0.0005348,0.0005348,0.0005348
39,15803.1,0.33992,0.22468,0.16353,0.29557,0.87394,0.99965,1,0.995,0.96826,0.99965,1,0.995,0.99011,0.27133,0.0828,0.05627,0.22849,0.85949,0.0004952,0.0004952,0.0004952
40,16234,0.34341,0.22643,0.16158,0.29548,0.87311,0.99964,1,0.995,0.96847,0.99964,1,0.995,0.98856,0.27297,0.10082,0.05314,0.23426,0.86091,0.0004556,0.0004556,0.0004556
41,16662,0.32521,0.12242,0.05658,0.27541,0.86229,0.99966,1,0.995,0.96277,0.99966,1,0.995,0.991,0.28306,0.08584,0.04438,0.22977,0.85634,0.000416,0.000416,0.000416
42,17059.4,0.29867,0.10356,0.03989,0.25761,0.85089,0.99968,1,0.995,0.97168,0.99968,1,0.995,0.99297,0.27486,0.07262,0.03352,0.2242,0.84609,0.0003764,0.0003764,0.0003764
43,17448.5,0.28603,0.08394,0.03245,0.24483,0.85292,0.9997,1,0.995,0.97264,0.9997,1,0.995,0.99257,0.2501,0.06674,0.02857,0.2125,0.84929,0.0003368,0.0003368,0.0003368
44,17831.2,0.26543,0.08694,0.02985,0.23466,0.84024,0.99966,1,0.995,0.97766,0.99966,1,0.995,0.99345,0.23187,0.06847,0.02371,0.22067,0.84105,0.0002972,0.0002972,0.0002972
45,18215.3,0.26196,0.08551,0.02846,0.23086,0.8457,0.99971,1,0.995,0.98246,0.99971,1,0.995,0.99262,0.20457,0.07001,0.02127,0.21509,0.84037,0.0002576,0.0002576,0.0002576
46,18602,0.2454,0.07368,0.0249,0.22973,0.8366,0.99968,1,0.995,0.97977,0.99968,1,0.995,0.99351,0.21865,0.05826,0.01956,0.20758,0.83603,0.000218,0.000218,0.000218
47,18985.8,0.23627,0.06611,0.02288,0.22038,0.8297,0.9997,1,0.995,0.97802,0.9997,1,0.995,0.9935,0.21921,0.06478,0.01788,0.20904,0.8418,0.0001784,0.0001784,0.0001784
48,19371.5,0.23813,0.06662,0.02255,0.2226,0.83487,0.99965,1,0.995,0.98137,0.99965,1,0.995,0.99352,0.22339,0.05795,0.01665,0.22164,0.83378,0.0001388,0.0001388,0.0001388
49,19755.2,0.21992,0.06466,0.02042,0.21428,0.81668,0.99969,1,0.995,0.98143,0.99969,1,0.995,0.99352,0.20141,0.05646,0.01618,0.20349,0.83238,9.92e-05,9.92e-05,9.92e-05
50,20137.4,0.21326,0.06154,0.02177,0.20852,0.82422,0.9997,1,0.995,0.98195,0.9997,1,0.995,0.9928,0.19734,0.05876,0.01572,0.20555,0.83204,5.96e-05,5.96e-05,5.96e-05
